author_code;author_name;lobby_index;google_h_index;prod_bag;nationality;doc_begin;doc_end
K4804071P2;Jordi Creus Tomàs;1;0;;;;
K8551880H8;Rebecca Montanari;1;0;;;;
K4788140P0;Maurizio Tazza;1;0;;;;
K8559347D4;Mario Fernando De la Rosa Rosero;1;0;;;;
K8508694Y6;Filipe Santos;1;13;;;;
K4730381T6;Bjorn Zeno Heilmann;1;0;;Alemanha;2002;2007

K4706020D5;Eduardo José Aguilar Alonso;1;0;;Uruguai;2003;2008

K8707245A8;Isabel Ramos;1;11;;;;
K4073086J3;Alessandro Arpetti;1;3;;;;
K8579048P5;João Manuel Portela da Gama;1;0;;;;
K8570861J2;Xavier Antonio Ochoa Chebab;1;0;;;;
K8593336H4;Iryna Yevseyeva;1;6;;;;
K8223380D9;Fehmi Ben Abdesslem;1;9;;;;
K8129508D6;Jens Stoye;1;43;;;;
K8265738H5;María Marcela Vegetti;1;0;;;;
K8284124D1;Nir Oren;1;18;;;;
K4240059D5;Marcela Quispe Cruz;1;0;;;;
K8247580J4;Robert Soule;1;11;;;;
K8219544Y5;Dan Viorel Milea;1;0;;;;
K8212153E4;Filippo Castiglione;1;25;;;;
K4759272T1;Edmund Wlodzimierz Ratajczyk;1;0;;Polônia;1974;1981

K8582053Y6;Tatiana Galibus;1;3;;;;
K8202479P3;Carlos Manuel Toledo;1;4;;;;
K8130581H6;Yongxin LIAO;1;0;;;;
K8729397D8;Carlos Ramón López Paz;1;0;;;;
K8762845A0;Diogo Ribeiro Ferreira;1;0;;;;
K8277848Y2;Jean-Rémi Bourguet;1;0;;;;
K4338749J7;Brett Mylo Drury;1;0;;Inglaterra;2007;2013

K8738538E7;Zeineb Chikhaoui;1;0;;;;
K8709530Z6;Michael jeremie Poss;1;0;;;;
K8743609J6;Felipe Restrepo-Calle;1;6;;;;
K8703446P3;Sancho Moura Oliveira;1;0;;;;
K8754718H3;Ekaterina Aleksandrovna Leonova Esmaeil Zadeh;1;0;;;;
K4750579T9;Antoine Eugène Letessier-Selvon;1;0;;França;1984;1987

K4779807P6;Gordana Manic;1;4;;Iugoslávia;2001;2006

K4796158P4;Hannu Tapio Ahonen;2;0;;Finlândia;1977;1982

K4237824U6;Illya Kokshenev;1;5;;Ucrânia;2006;2010

K4783213A4;Jan Frans Willem Slaets;5;0;;Bélgica;1976;1979

K4766414D6;Jeroen Antonius Maria van de Graaf;1;0;;Holanda;1993;1997

K4406728E9;Jorge Miguel Sá Silva;1;1;;Portugal;1997;2001

K4723157Z1;José de Jesús Pérez Alcázar;1;0;;Colômbia;1990;1995

K4366584E6;Josef Spillner;1;0;;Alemanha;2007;2010

K4799456D3;Julio Santiago Espinoza Ortiz;1;0;;Peru;1994;1997

K4734732U0;Karina Valdivia Delgado;2;0;;Peru;2006;2010

K4837222U2;Luis Mariano Peñaranda;1;0;;Argentina;2006;2010

K4791985Y2;Martha Ximena Torres Delgado;2;0;;Colômbia;1994;1999

K4766735E4;Mercedes Rocío Gonzales Márquez;1;0;;Peru;2008;2008

K4360155H6;Mirtha Lina Fernández Venero;1;6;;Cuba;1999;2007

K4761927U8;Nilo Mauricio Sotomayor Choque;1;0;;Peru;1998;2002

K4753902T7;Ole Peter Smith;1;0;;Dinamarca;1991;1995

K4716808Y7;Oscar Antonio González Chong;1;0;;Cuba;1985;1989

K4504157T3;Paul Denis Etienne Regnier;3;0;;França;2008;2012

K4762667U2;Peter Sussner;2;21;PQ-2
;Alemanha;1991;1996

K4326406T3;Petraq Papajorgji;1;9;;Albânia;1978;1984

K4768293A7;Sahudy Montenegro González;2;0;;Cuba;1999;2003

K4767331U4;Sofiane Labidi;3;0;;Tunísia;1992;1995

K4775772P7;Thomas Maurice LEWINER;6;0;;França;2002;2005

K8451016T9;Antonio Maciá Vidal;1;0;;;;
K8451298T9;Víctor Manoel García Mollá;1;0;;;;
K4794712P1;Victor Francisco Araya Santander;2;0;;Chile;1999;2002

K8465830D0;Massimo Tornatore;1;28;;;;
K8467638T5;Francesco Lettich;1;0;;;;
K8461260D8;Witold Pedrycz;1;87;;;;
K8457033J3;Pedro Nuno Cruz Diniz;1;0;;;;
K4435166E1;Vladimir Pestov;1;23;;Rússia;1980;1983

K8115441H8;Athanasios Tsouanas;1;0;;;;
K8434050H2;Tomas Horvath;1;13;;;;
K8454509P0;Nikolajs Nahimovs;1;0;;;;
K4805743U6;Rasul Enayatifar;1;13;;;;
K8477350U7;Ricardo Contreras;1;10;;;;
K4836659A1;Andrew Gerard Murray;1;0;;;;
K4359390D4;Daniel Panario;1;19;;Uruguai;1992;1997

K8478408E4;Shah Nazir;1;2;;;;
K4308935E5;Maikel Díaz Castro;1;0;;;;
K8747113P7;Christoph Treude;1;13;;;;
K8476596T5;Vincent Douzal;1;0;;;;
K8208559H5;Silena Herold García;1;3;;;;
K4425997Z4;Mohammadreza Hadizadeh;1;9;;;;
K8492315H7;Thorsten Kliewe;1;0;;;;
K8387535P8;Simon Shamoun;1;0;;;;
K8325630J2;Sylvain Ductor;1;2;;;;
K4702330Y8;Attilio Cucchieri;1;33;;Itália;1991;1996

K8743474A5;Luís Domingues Tomé Jardim Tarrataca;1;0;;;;
K8335519T1;Alina Ene;1;10;;;;
K4768856U5;David Boris Paul Déharbe;3;0;;França;1992;1996

K4236500U1;Orlando José Katime Santrich;1;0;;;;
K8397583E7;Leonardo Montecchi;1;7;;;;
K4498635Z2;Elizabeth Simão Carvalho;1;0;;Portugal;2006;2008

K4869714Z8;Carlos Eduardo Cedeno Montana;1;3;;;;
K8399587P6;Rafael Capilla Sevilla;1;0;;;;
K8080972D6;Juan Carlos Vidal Aguiar;1;0;;;;
K4188127J5;Claudio Melioli;1;12;;;;
K8088790Y5;André Fabbri;1;13;;;;
K4241418T0;Heiko Horst Hornung;2;0;;;;
K8451086J2;Carla Ramiro Sanchez;1;0;;;;
K8409227Y9;Bolaji Asaju Laaro;1;0;;;;
K8034053T2;Davy Monticolo;1;9;;;;
K8304827P0;Nishad Bharat Kothari;1;0;;;;
K4799410D3;Ana Maria Monteiro;1;2;;Argentina;1996;2001

K4808694P6;Mark Klein;1;42;;;;
K4805098T9;Eduardo Jose Urbina;1;0;;;;
K8565641Y9;Yiezenia Rosario Ferrer;1;0;;;;
K8533019P2;Luca Foschini;1;19;;;;
K4550300T4;Carlos Manuel Dias Viegas;1;0;;;;
K8048629Y6;José Torres;1;0;;;;
K8081884D5;Umberto Rivieccio;1;8;;;;
K8048040J3;Michael Gennert;1;16;;;;
K4279274J6;María Lucía Castro Jorge;1;0;;;;
K4742377Z7;Aldo René Zang;1;0;;;;
K4491390A7;Frank Dennis Julca Aguilar;1;2;;;;
K8032439Y5;Eduardo Fermé;1;13;;;;
K4448286E4;Antonio Díaz Tula;1;0;;;;
K8799938Z3;José Luis Vivas Frontana;1;0;;;;
K4212812U7;Soledad Espezúa Llerena;1;0;;;;
K4441729T2;Manuel Antonio Castro Avila;1;0;;;;
K8422450P6;Stéphane LOUISE;1;9;;;;
K8145602A0;Ivana Ivánová;1;0;;;;
K8173215Z4;François Coallier;1;0;;;;
K4200210Z0;Franck Carlos Vélez Benito;1;0;;;;
K4427452Z1;Guadalupe del Rosario Quispe Saji;1;0;;;;
K4892005Z6;Sergio Cleger Tamayo;1;0;;;;
K4796554U5;Celso Roberto Perez;1;0;;Argentina;1995;2000

K4727933T8;Cecilia Sosa Arias Peixoto;1;0;;Argentina;1992;1997

K4472491Y0;Karl Apaza Agüero;1;0;;;;
K4484316Z1;Santiago Valdés Ravelo;1;0;;;;
K8265402Y1;Antonio Silva Sprock;1;6;;;;
K4799800A6;Giovanny Fernando Lucero Palma;1;0;;;;
K4781982D0;Adriano Joaquim de OLIVEIRA CRUZ;2;9;;Portugal;1983;1988

K4759770E4;Emmanuel Felix Lopes da Silva;1;0;;Brasil;2003;2008

K4703690A6;Ernesto Julián Goldberg Birgin;5;0;PQ-1B
;Argentina;1995;1998

K4707920U1;Esteban Walter Gonzalez Clua;9;0;;Argentina;2000;2004

K4490397H4;Fernando Niño;1;53;;Colômbia;1993;1997

K4739301A6;François Marie Artiguenave;1;0;;França;1992;1996

K4792596J6;Galina Ivanovna Pougatcheva;1;0;;Rússia;1970;1973

K4787448H0;George Svetlichny;1;0;;Rússia;1964;1968

K4721859J6;Gonzalo Alberto Contreras Barandiaran;1;0;;Peru;1985;1990

K4755958H5;Guillaume Barreau;1;0;;França;1993;1997

K4753437Y6;Héctor Dave Orrillo Ascama;1;0;;Peru;2005;2011

K4831408Z6;Hervé Panetto;1;22;;França;1988;1991

K4734586A6;Ignacio Larrabide;1;19;;Argentina;2003;2007

K4736389Z5;Igor Eduardo Otiniano Mejía;1;0;;Peru;2004;2008

K4703174U0;Ircílio Chissolucombe;1;0;;Angola;2003;2009

K4728666J1;Jacques Facon;6;11;;França;1985;1987

K4221894U6;Jean-Pierre Briot;3;25;;França;1982;1984

K4212658D6;Jesús Daniel Villalba Morales;1;0;;Colômbia;2009;2012

K4880770H9;Joaquim Tinoco;1;6;;Portugal;2008;2012

K4783453D8;Jorge Johnny Rocha Echeverria;1;0;;Bolívia;1990;1996

K4703932U4;Jorge Luis Roel Ortiz;1;0;;Peru;1998;2002

K4773252P6;Juan Alfredo Ayala Espinoza;1;0;;Equador;1997;2001

K4189916U5;Juan Carlos Agudelo Agudelo;1;4;;Colômbia;2006;2009

K4750229H6;Luis Carlos Castillo Martinez;1;0;;Peru;2005;2009

K4733389E0;Luis Marco Cáceres Alvarez;1;0;;Chile;2000;2004

K4792733E7;Malik Cheriaf;1;0;;Argélia;1988;1993

K4328990A0;Rafael Bello;1;18;;Cuba;1983;1987

K4337230Z6;Mario Inostroza-Ponta;1;8;;Chile;2004;2008

K4783955A0;Patricio Anibal Letelier Sotomayor;1;0;;Chile;1974;1977

K8078113A7;Jaime Hernan Sanchez Ilabaca;1;0;;;;
K4363639J6;Matthias Diener;1;7;;;;
K4354402U2;Paolo Rech;1;11;;;;
K4559464H6;Claus-Eberhard Liedtke;1;0;;Alemanha;1968;1972

K4351774D2;Nayat Sánchez-Pi;3;0;;;;
K4717929J1;Martha Johanna Sepúlveda Flórez;1;0;;Colômbia;2006;2011

K8057736H8;Pedro José de Melo Teixeira Pinto;1;0;;;;
K8072311A5;Sergio Fabian Ochoa;1;0;;;;
K4414333Y6;Daniel Schmidt;1;34;;Alemanha;2003;2010

K4727986J9;Carlos Gustavo Gonzalez;1;6;;Argentina;1991;1994

K4755242H2;Nancy Blanco Méndez;1;0;;Cuba;1983;1988

K8097256U0;Daniel Perovich;1;4;;;;
K4261548H5;Omar Lengerke;1;5;;Colômbia;2006;2010

K4290159E8;Matthias Rudolf Brust;1;0;;Alemanha;2004;2007

K4321493D0;Thomas Grapperon-Mathis;1;0;;França;2005;2008

K4704719D3;Michel Loos;1;0;;França;1985;1990

K4792296A7;Mikhail Polonskii;1;43;;Rússia;1988;1990

K4701432U6;Nadia Nedjah;4;19;PQ-1D
;Argélia;1994;1997

K4763972Y7;Antonio Ramirez Hidalgo;1;0;;Peru;1995;1999

K4113225Z8;Nicolas D Georganas;1;0;;Grécia;1966;1970

K4791509T6;Orlando Lee;4;6;PQ-2
;Portugal;1995;1999

K4755099D5;Robert Sych;1;78;;Ucrânia;1996;1998

K4736545P5;Patrick Jean Daniel Séchet;1;0;;França;1981;1984

K4751906H0;Paul Simon Dimmock;1;0;;Inglaterra;2000;2003

K4764448A5;Philippe Maillard;1;7;;Canadá;1995;1999

K4776349Y7;Roxana Jimenez Contreras;4;0;;Peru;2002;2007

K4703501J2;Steffen Lewitzka;1;0;;Alemanha;1998;2003

K4767796T7;Abilio Manuel Variz;1;5;;Portugal;2001;2006

K4415037E7;Vishwanath Kadaba Puttanna;1;2;;Índia;2005;2009

K4758024Z4;Wilfredo Jaime Puma Villanueva;1;0;;Peru;2006;2011

K4765238Z4;Bernard Pierre Maigret;1;0;;França;1969;1971

K4973251Z7;Diego Fabian Paredes Concha;1;0;;Chile;2009;2013

K4315073Y2;Carlos Alberto Olarte Vega;2;0;PQ-2
;Colômbia;2006;2009

K4769337D2;Caroline Bardini;1;0;;Bélgica;2000;2003

K4335279A6;Bruno Miguel Bichinho Fazenda;1;0;;Portugal;2000;2004

K4231302J6;Capet Xavier;1;0;;França;1998;2001

K4836332P8;Ciro Russo;1;6;;Itália;2004;2007

K8755015T3;Julio Macias;1;0;;;;
K4781417E7;Benjamín René Callejas Bedregal;8;0;PQ-1D
;Chile;1992;1996

K4325257T9;Cecilia Vallejos de Schatz;1;0;;;;
K4281695T0;Edmundo Daniel Hoyle Delgado;1;0;;;;
K8149068H0;Viktar Krasnaproshyn;1;0;;;;
K8508040Y6;Salam HAJJAR;1;2;;;;
K8173000Y2;Adrien Yann Cottin;1;0;;;;
K4706375U2;Bensebaa Kamel;1;0;;Argélia;2001;2005

K4796944E2;José Luis Gómez Cipriano;1;0;;;;
K4792499D5;Angel Ricardo Plastino;1;0;;;;
K4270679H3;Brett Kessler;1;0;;Estados Unidos;1994;1999

K4904268P9;Manuel Jesus Mamani Lopez;1;0;;;;
K4779082Z5;Ahmed Mohamed Abushaala;1;0;;Egito;2001;2004

K4321521U5;Ronald Marcos Arcos Padilla;1;0;;;;
K8781758D1;Francisco Vasques;2;41;;;;
K4890337T9;Cédric Potterat;1;0;;;;
K4364576E0;Oscar Fabian Mojica Ladino;1;0;;;;
K4763370Y7;Oscar Eduardo Patrón Guillermo;1;0;;;;
K4792858E6;Anibal Dario Angulo Miranda;1;0;;Bolívia;1999;2004

K4776882P8;Esfhan Alam Kherani;1;0;;Índia;1995;2001

K4701150E5;Franck Gilbert René Bellemain;1;0;;França;1986;1992

K4418785Y4;Frank Detlef Block;1;0;;Brasil;1991;1995

K4780892D8;Gerald Weber;1;17;;Alemanha;1987;1990

K4768594J9;Hae Yong Kim;4;159;;Coréia do Sul;1993;1997

K4798354T0;Hassan Ahmad Sidaoui;1;0;;Costa do Marfim;1989;1992

K4423861P5;Heiko Max Brunken;1;0;;Alemanha;1984;1988

K4702834E0;Helder Roberto de Oliveira Rocha;1;3;;Cabo Verde;2006;2010

K4769673D1;Horácio Francisco Zimba;1;0;;Moçambique;2006;2010

K4717246U6;Jorge Calderón Romero;1;0;;Peru;2006;2009

K4283147Y6;Jorge Cordeiro Duarte;1;0;;Portugal;2006;2011

K4792583P4;Jorge Elias Musa Carballo;1;0;;Cuba;1995;1999

K4761418A0;Julian Edwin Hamby Mustoe;1;0;;Inglaterra;1987;1990

K4138374J9;Laurent Latché;1;0;;França;2000;2004

K4369065Y4;Li Sze Chow Berti;1;0;;Malásia;2003;2005

K4791696P2;Lisandro Lovisolo;2;10;;Argentina;2001;2006

K4707550T5;Marcos Julio Rider Flores;1;0;;Peru;2002;2006

K4791263D6;Maria Gabriela Roca Magallanes;1;0;;Venezuela;1998;2001

K4770631T4;Marie-Noëlle PONS;1;0;;França;1980;1984

K4792385H4;Martial Michel Yoric Bernoux;1;0;;França;1994;1998

K4706412D8;Mauricio Angel Vega Teijido;1;0;;Uruguai;1999;2003

K4769727D3;Miguel Pari Soto;1;0;;Peru;1998;2003

K4739041H2;Milton Ernesto Romero Romero;1;0;;Colômbia;1995;1999

K4269598Z1;Nicolas Palluat;1;0;;França;2002;2006

K4763127H4;Vicente Leonardo Paucar Casas;2;0;;Peru;1994;1998

K4244766P2;Viviana Aguilar Muñoz;1;0;;;;
K4214303Z1;Sergio Daniel Cano Ortiz;1;5;;Cuba;1987;1990

K4252777A4;Nicolas Pierre Roger Ramaux;1;0;;França;1995;1998

K8187591D1;Kai Olav Ellefsen;1;3;;;;
K4295052E6;Janier Arias García;1;4;;;;
K8141337T4;Vincent Olivier Jean-Marie Noel;1;0;;;;
K4127235A1;Ediguer Enrique Franco Guzman;1;0;;Colômbia;2006;2010

K4454368U3;Andrés Eduardo Coca Salazar;1;0;;;;
K4339145J0;Walter Oscar Serrate Cuellar;1;0;;Bolívia;1974;1978

K4750716U5;Edgar Manuel Carreño Franco;1;9;;Colômbia;2004;2008

K4780112Z7;Osvaldo Ronald Saavedra Mendez;2;0;;Chile;1989;1993

K8564983Y6;Victor Marin Contreras;1;0;;;;
K8569229T5;Stefan Wagner;1;73;;;;
K4790128Y9;Claudine Chaouiya Chantegrel;1;0;;França;1989;1992

K4788262Y3;Wim Maurits Sylvain Degrave;7;0;;Bélgica;1980;1985

K4792625T0;Paula Aida Sesini;1;0;;Argentina;2002;2006

K4707126Z0;Edgard Ubaldo Guillen Salas;1;0;;;;
K4262834T1;Pedro Correia de Matos David;1;0;;França;1989;1992

K4784261J6;Rafael Carlos Vélez Benito;1;0;;Peru;1991;1995

K4337761Z6;Oswaldo Santos Baquero;1;2;;;;
K4979659Y3;Bráulio Alturas;1;0;;Portugal;1999;2005

K4708341D1;Edouard Lethelier;1;0;;França;1992;1996

K8075497E3;Jean Francois Mas Caussel;1;0;;;;
K4764557Z6;Raúl Hernández Tabares;1;0;;Cuba;1995;1999

K8533206Y5;Yansel Omar Guerrero Martínez;1;0;;;;
K8472584D9;Majid Forghani Elahabad;1;0;;;;
K4212578J6;Roger Fredy Larico Chavez;2;5;;Peru;2006;2011

K4723038Y9;Sonia Elena Palomino Castro;1;0;;Peru;1998;2002

K4327314U1;William Alberto Cruz Castañeda;1;0;;;;
K4796960H1;Stéphane Julia;1;0;;França;1993;1997

K4783997P3;Wladia Viviani;1;0;;Itália;1989;1992

K4742495J9;Kary Ann del Carmen Ocaña Gautherot;6;0;;;;
K4320530T5;Luca Mazzola;1;9;;;;
K4262510U9;Daniel Lambertz;1;0;;Alemanha;1997;2002

K4781776P3;Elisabetta Romano;1;0;;Itália;1988;1994

K4763182J6;Carlos Ramon Pantaleon Dionisio;1;4;;Peru;2000;2005

